SID,Year,ASJC,Description,SJR,Quartile,Percentile
21503,2023,1201,Arts and Humanities (miscellaneous),1.562,1,96
21503,2023,3205,Experimental and Cognitive Psychology,1.562,1,91
21504,2023,1109,Insect Science,0.541,2,69
21504,2023,2303,Ecology,0.541,2,65
21504,2023,2701,Medicine (miscellaneous),0.541,2,51
21505,2023,2503,Ceramics and Composites,0.101,4,2
21505,2023,2505,Materials Chemistry,0.101,4,1
21506,2023,1202,History,0.108,3,28
21506,2023,1208,Literature and Literary Theory,0.108,3,41
21506,2023,1213,Visual Arts and Performing Arts,0.108,3,37
21506,2023,3316,Cultural Studies,0.108,4,20
21507,2023,1201,Arts and Humanities (miscellaneous),0.101,4,10
21507,2023,3316,Cultural Studies,0.101,4,8
21508,2023,1601,Chemistry (miscellaneous),0.153,4,13
21510,2023,1601,Chemistry (miscellaneous),0.292,3,41
21511,2023,1601,Chemistry (miscellaneous),0.89,1,80
21515,2023,1103,Animal Science and Zoology,0.175,4,14
21517,2023,3303,Development,0.243,3,34
21517,2023,3305,"Geography, Planning and Development",0.243,3,35
21517,2023,3320,Political Science and International Relations,0.243,3,48
21519,2023,3308,Law,0.51,1,84
21522,2023,1508,Process Chemistry and Technology,0.938,2,72
21522,2023,2503,Ceramics and Composites,0.938,1,78
21522,2023,2504,"Electronic, Optical and Magnetic Materials",0.938,1,78
21522,2023,2505,Materials Chemistry,0.938,1,80
21522,2023,2508,"Surfaces, Coatings and Films",0.938,1,79
21523,2023,1501,Chemical Engineering (miscellaneous),0.229,3,32
21523,2023,1601,Chemistry (miscellaneous),0.229,3,30
21524,2023,1303,Biochemistry,1.679,1,87
21524,2023,2301,Environmental Science (miscellaneous),1.679,1,91
21525,2023,1601,Chemistry (miscellaneous),0.194,4,23
21527,2023,2301,Environmental Science (miscellaneous),1.316,1,86
21530,2023,3305,"Geography, Planning and Development",0.533,2,66
21530,2023,3320,Political Science and International Relations,0.533,1,77
21533,2023,1202,History,0.101,4,15
21533,2023,1208,Literature and Literary Theory,0.101,3,26
21533,2023,1212,Religious Studies,0.101,4,14
21535,2023,1601,Chemistry (miscellaneous),0.212,3,27
21536,2023,2308,"Management, Monitoring, Policy and Law",1.602,1,90
21536,2023,3305,"Geography, Planning and Development",1.602,1,95
21537,2023,1601,Chemistry (miscellaneous),3.516,1,96
21537,2023,2304,Environmental Chemistry,3.516,1,97
21537,2023,2701,Medicine (miscellaneous),3.516,1,97
21539,2023,3308,Law,0.438,1,79
21541,2023,2734,Pathology and Forensic Medicine,0.569,2,59
21541,2023,3308,Law,0.569,1,87
21541,2023,3321,Public Administration,0.569,2,65
21542,2023,3304,Education,0.916,1,83
21542,2023,3312,Sociology and Political Science,0.916,1,86
21542,2023,3322,Urban Studies,0.916,1,88
21544,2023,1601,Chemistry (miscellaneous),0.25,3,33
21546,2023,2203,Automotive Engineering,0.18,4,19
21546,2023,2210,Mechanical Engineering,0.18,4,16
21548,2023,2503,Ceramics and Composites,1.198,1,87
21548,2023,2505,Materials Chemistry,1.198,1,87
21550,2023,1606,Physical and Theoretical Chemistry,0.321,3,33
21550,2023,3104,Condensed Matter Physics,0.321,3,35
21552,2023,2304,Environmental Chemistry,0.54,3,41
21552,2023,2311,Waste Management and Disposal,0.54,2,53
21552,2023,2312,Water Science and Technology,0.54,2,61
21552,2023,2701,Medicine (miscellaneous),0.54,2,51
21553,2023,1604,Inorganic Chemistry,0.373,3,47
21553,2023,1606,Physical and Theoretical Chemistry,0.373,3,42
21553,2023,1607,Spectroscopy,0.373,3,37
21554,2023,1103,Animal Science and Zoology,1.026,1,95
21554,2023,1105,"Ecology, Evolution, Behavior and Systematics",1.026,1,86
21557,2023,1211,Philosophy,0.565,1,90
21557,2023,2301,Environmental Science (miscellaneous),0.565,2,63
21564,2023,2302,Ecological Modeling,0.628,2,58
21564,2023,2613,Statistics and Probability,0.628,2,60
21565,2023,2202,Aerospace Engineering,0.185,4,12
21565,2023,2203,Automotive Engineering,0.185,4,22
21565,2023,2209,Industrial and Manufacturing Engineering,0.185,3,26
21565,2023,2210,Mechanical Engineering,0.185,4,17
21565,2023,2215,Building and Construction,0.185,4,16
21565,2023,2739,"Public Health, Environmental and Occupational Health",0.185,4,18
21565,2023,3102,Acoustics and Ultrasonics,0.185,4,13
21567,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.486,2,56
21567,2023,1109,Insect Science,0.486,2,63
21568,2023,2308,"Management, Monitoring, Policy and Law",0.611,2,57
21568,2023,3305,"Geography, Planning and Development",0.611,2,72
21568,2023,3312,Sociology and Political Science,0.611,1,76
21568,2023,3318,Gender Studies,0.611,1,79
21570,2023,3301,Social Sciences (miscellaneous),0.535,2,73
21570,2023,3308,Law,0.535,1,85
21574,2023,1103,Animal Science and Zoology,0.407,2,59
21574,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.407,3,49
21574,2023,2309,Nature and Landscape Conservation,0.407,2,54
21575,2023,3304,Education,0.33,3,43
21576,2023,2202,Aerospace Engineering,1.23,1,90
21576,2023,2207,Control and Systems Engineering,1.23,1,80
21576,2023,2208,Electrical and Electronic Engineering,1.23,1,82
21576,2023,2210,Mechanical Engineering,1.23,1,90
21576,2023,2212,Ocean Engineering,1.23,1,92
21576,2023,2604,Applied Mathematics,1.23,1,87
21578,2023,2612,Numerical Analysis,0.44,2,50
21578,2023,3104,Condensed Matter Physics,0.44,2,54
21579,2023,1706,Computer Science Applications,0.241,4,22
21579,2023,2211,Mechanics of Materials,0.241,3,27
21579,2023,2611,Modeling and Simulation,0.241,4,19
21579,2023,2612,Numerical Analysis,0.241,4,18
21579,2023,3104,Condensed Matter Physics,0.241,4,24
21581,2023,2210,Mechanical Engineering,0.1,4,0
21581,2023,2508,"Surfaces, Coatings and Films",0.1,4,1
21582,2023,2211,Mechanics of Materials,0.228,3,25
21582,2023,2503,Ceramics and Composites,0.228,3,26
21582,2023,2505,Materials Chemistry,0.228,3,28
21584,2023,1102,Agronomy and Crop Science,0.199,4,24
21584,2023,1109,Insect Science,0.199,4,15
21584,2023,2303,Ecology,0.199,4,20
21585,2023,2701,Medicine (miscellaneous),0.165,4,15
21585,2023,2746,Surgery,0.165,4,23
21591,2023,2732,Orthopedics and Sports Medicine,0.212,4,24
21591,2023,2746,Surgery,0.212,3,31
21593,2023,2746,Surgery,0.972,1,86
21594,2023,1105,"Ecology, Evolution, Behavior and Systematics",2.123,1,96
21594,2023,1109,Insect Science,2.123,1,99
21595,2023,3612,"Physical Therapy, Sports Therapy and Rehabilitation",0.492,2,59
21595,2023,3699,Sports Science,0.492,3,35
21597,2023,1202,History,0.341,1,91
21597,2023,1901,Earth and Planetary Sciences (miscellaneous),0.341,3,48
21597,2023,2301,Environmental Science (miscellaneous),0.341,3,47
21599,2023,1202,History,1.032,1,99
21599,2023,3312,Sociology and Political Science,1.032,1,89
21600,2023,1208,Literature and Literary Theory,0.224,1,91
21600,2023,1211,Philosophy,0.224,2,66
21600,2023,3301,Social Sciences (miscellaneous),0.224,3,43
21600,2023,3308,Law,0.224,2,52
21600,2023,3316,Cultural Studies,0.224,2,72
21601,2023,3304,Education,0.961,1,84
21601,2023,3616,Speech and Hearing,0.961,1,94
21603,2023,2210,Mechanical Engineering,0.331,3,44
21606,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.61,2,68
21607,2023,2209,Industrial and Manufacturing Engineering,0.1,4,3
21607,2023,2503,Ceramics and Composites,0.1,4,0
21608,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.2,4,13
21611,2023,2746,Surgery,0.156,4,21
21614,2023,2705,Cardiology and Cardiovascular Medicine,0.529,2,50
21614,2023,2740,Pulmonary and Respiratory Medicine,0.529,3,47
21614,2023,2746,Surgery,0.529,2,63
21615,2023,2715,Gastroenterology,0.911,2,71
21617,2023,1201,Arts and Humanities (miscellaneous),0.731,1,85
21617,2023,3305,"Geography, Planning and Development",0.731,1,80
21617,2023,3320,Political Science and International Relations,0.731,1,86
21622,2023,2503,Ceramics and Composites,0.202,4,20
21622,2023,2505,Materials Chemistry,0.202,4,23
21622,2023,3104,Condensed Matter Physics,0.202,4,16
21625,2023,2702,Anatomy,0.35,2,52
21625,2023,2734,Pathology and Forensic Medicine,0.35,3,39
21625,2023,2746,Surgery,0.35,3,47
21629,2023,3308,Law,0.39,1,76
21630,2023,2746,Surgery,0.119,4,7
21634,2023,2734,Pathology and Forensic Medicine,0.109,4,3
21634,2023,3207,Social Psychology,0.109,4,1
21634,2023,3308,Law,0.109,4,10
21639,2023,2210,Mechanical Engineering,0.13,4,7
21643,2023,2104,Nuclear Energy and Engineering,0.635,2,71
21643,2023,2202,Aerospace Engineering,0.635,2,69
21643,2023,2205,Civil and Structural Engineering,0.635,2,69
21643,2023,2210,Mechanical Engineering,0.635,2,72
21643,2023,2212,Ocean Engineering,0.635,2,67
21643,2023,3104,Condensed Matter Physics,0.635,2,69
21643,2023,3109,Statistical and Nonlinear Physics,0.635,2,58
21644,2023,3308,Law,0.15,3,32
21655,2023,2204,Biomedical Engineering,0.473,3,42
21655,2023,2502,Biomaterials,0.473,3,35
21658,2023,2733,Otorhinolaryngology,1.031,1,93
21658,2023,2746,Surgery,1.031,1,88
21658,2023,3504,Oral Surgery,1.031,1,90
21662,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.535,2,62
21662,2023,2701,Medicine (miscellaneous),0.535,2,51
21664,2023,2503,Ceramics and Composites,0.258,3,33
21669,2023,1604,Inorganic Chemistry,0.172,4,6
21669,2023,2503,Ceramics and Composites,0.172,4,14
21669,2023,2505,Materials Chemistry,0.172,4,15
21673,2023,2701,Medicine (miscellaneous),0.42,3,41
21673,2023,2733,Otorhinolaryngology,0.42,3,47
21673,2023,2746,Surgery,0.42,2,53
21674,2023,1211,Philosophy,0.18,2,57
21674,2023,3308,Law,0.18,3,40
21674,2023,3312,Sociology and Political Science,0.18,3,33
21675,2023,2701,Medicine (miscellaneous),1.006,1,80
21675,2023,2705,Cardiology and Cardiovascular Medicine,1.006,1,78
21675,2023,2741,"Radiology, Nuclear Medicine and Imaging",1.006,1,83
21675,2023,2746,Surgery,1.006,1,87
21676,2023,2719,Health Policy,0.967,1,80
21676,2023,2910,"Issues, Ethics and Legal Aspects",0.967,1,90
21677,2023,1311,Genetics,4.516,1,96
21677,2023,2716,Genetics (clinical),4.516,1,97
21678,2023,2732,Orthopedics and Sports Medicine,0.703,2,65
21678,2023,2746,Surgery,0.703,1,75
21679,2023,2715,Gastroenterology,0.941,2,72
21679,2023,2746,Surgery,0.941,1,85
21680,2023,2732,Orthopedics and Sports Medicine,0.983,1,81
21680,2023,2746,Surgery,0.983,1,87
21681,2023,3308,Law,0.875,1,93
21683,2023,3308,Law,0.115,4,15
21684,2023,2705,Cardiology and Cardiovascular Medicine,2.505,1,93
21684,2023,2740,Pulmonary and Respiratory Medicine,2.505,1,95
21684,2023,2746,Surgery,2.505,1,98
21684,2023,2747,Transplantation,2.505,1,97
21686,2023,2721,Hepatology,1.104,2,68
21686,2023,2746,Surgery,1.104,1,90
21688,2023,2746,Surgery,0.472,2,58
21691,2023,2209,Industrial and Manufacturing Engineering,0.733,1,75
21691,2023,2210,Mechanical Engineering,0.733,1,76
21692,2023,2210,Mechanical Engineering,0.164,4,13
21692,2023,3104,Condensed Matter Physics,0.164,4,7
21697,2023,1103,Animal Science and Zoology,0.546,1,76
21697,2023,1311,Genetics,0.546,3,36
21697,2023,2701,Medicine (miscellaneous),0.546,2,52
21698,2023,2732,Orthopedics and Sports Medicine,0.831,1,75
21698,2023,2746,Surgery,0.831,1,82
21701,2023,2746,Surgery,0.42,2,54
21702,2023,2204,Biomedical Engineering,0.237,4,20
21702,2023,3501,Dentistry (miscellaneous),0.237,3,35
21703,2023,1311,Genetics,0.609,3,42
21703,2023,2716,Genetics (clinical),0.609,3,33
21706,2023,1311,Genetics,7.366,1,98
21707,2023,2728,Neurology (clinical),0.415,3,35
21707,2023,2746,Surgery,0.415,2,53
21708,2023,1311,Genetics,4.361,1,96
21708,2023,1312,Molecular Biology,4.361,1,95
21708,2023,2716,Genetics (clinical),4.361,1,95
21712,2023,2701,Medicine (miscellaneous),0.949,1,77
21712,2023,2735,"Pediatrics, Perinatology and Child Health",0.949,1,85
21712,2023,2746,Surgery,0.949,1,85
21716,2023,2736,Pharmacology (medical),0.1,4,0
21716,2023,3004,Pharmacology,0.1,4,0
21717,2023,3003,Pharmaceutical Science,0.372,2,52
21721,2023,2731,Ophthalmology,1.477,1,91
21721,2023,2746,Surgery,1.477,1,95
21722,2023,1312,Molecular Biology,1.58,1,79
21722,2023,1313,Molecular Medicine,1.58,1,84
21723,2023,2701,Medicine (miscellaneous),1.855,1,93
21723,2023,2732,Orthopedics and Sports Medicine,1.855,1,96
21723,2023,2746,Surgery,1.855,1,98
21723,2023,3699,Sports Science,1.855,1,93
21725,2023,2701,Medicine (miscellaneous),0.81,2,72
21725,2023,2730,Oncology,0.81,2,59
21725,2023,2746,Surgery,0.81,1,81
21727,2023,1305,Biotechnology,1.047,1,80
21727,2023,1311,Genetics,1.047,2,67
21728,2023,2746,Surgery,0.748,1,77
21731,2023,2705,Cardiology and Cardiovascular Medicine,1.744,1,88
21731,2023,2740,Pulmonary and Respiratory Medicine,1.744,1,91
21731,2023,2746,Surgery,1.744,1,97
21732,2023,2705,Cardiology and Cardiovascular Medicine,1.936,1,89
21732,2023,2746,Surgery,1.936,1,98
21733,2023,1311,Genetics,0.204,4,10
21733,2023,2716,Genetics (clinical),0.204,4,13
21736,2023,2210,Mechanical Engineering,0.2,4,21
21736,2023,2213,"Safety, Risk, Reliability and Quality",0.2,4,22
21736,2023,3102,Acoustics and Ultrasonics,0.2,4,20
21741,2023,1105,"Ecology, Evolution, Behavior and Systematics",1.092,1,88
21741,2023,1311,Genetics,1.092,2,69
21741,2023,2716,Genetics (clinical),1.092,2,68
21743,2023,2902,Advanced and Specialized Nursing,0.579,1,85
21743,2023,2914,Medical and Surgical Nursing,0.579,1,87
21744,2023,1313,Molecular Medicine,0.445,3,28
21744,2023,1602,Analytical Chemistry,0.445,2,51
21744,2023,1605,Organic Chemistry,0.445,3,48
21744,2023,2707,Complementary and Alternative Medicine,0.445,2,67
21744,2023,3002,Drug Discovery,0.445,3,43
21744,2023,3003,Pharmaceutical Science,0.445,2,55
21744,2023,3004,Pharmacology,0.445,3,40
21745,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.508,2,59
21745,2023,1303,Biochemistry,0.508,3,39
21745,2023,1311,Genetics,0.508,3,33
21745,2023,1312,Molecular Biology,0.508,3,29
21745,2023,2701,Medicine (miscellaneous),0.508,3,49
21747,2023,2701,Medicine (miscellaneous),0.215,4,21
21747,2023,2746,Surgery,0.215,3,31
21749,2023,2701,Medicine (miscellaneous),0.114,4,4
21751,2023,2746,Surgery,0.758,1,78
21752,2023,1311,Genetics,0.824,2,58
21752,2023,2716,Genetics (clinical),0.824,2,50
21753,2023,1000,Multidisciplinary,0.112,4,3
21754,2023,1207,History and Philosophy of Science,1.416,1,93
21754,2023,1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",1.416,1,84
21754,2023,2801,Neuroscience (miscellaneous),1.416,1,80
21756,2023,2708,Dermatology,0.81,1,81
21756,2023,2746,Surgery,0.81,1,81
21758,2023,2736,Pharmacology (medical),0.186,4,24
21758,2023,3004,Pharmacology,0.186,4,23
21759,2023,2001,"Economics, Econometrics and Finance (miscellaneous)",0.659,1,81
21759,2023,3312,Sociology and Political Science,0.659,1,78
21762,2023,2701,Medicine (miscellaneous),0.151,4,13
21762,2023,2746,Surgery,0.151,4,19
21762,2023,2914,Medical and Surgical Nursing,0.151,4,24
21763,2023,2746,Surgery,0.956,1,86
21764,2023,2725,Infectious Diseases,1.356,1,88
21764,2023,2739,"Public Health, Environmental and Occupational Health",1.356,1,89
21767,2023,2803,Biological Psychiatry,1.652,1,81
21767,2023,3004,Pharmacology,1.652,1,93
21771,2023,2403,Immunology,0.542,3,30
21771,2023,2406,Virology,0.542,3,38
21771,2023,2725,Infectious Diseases,0.542,3,48
21772,2023,2728,Neurology (clinical),0.453,3,37
21772,2023,2746,Surgery,0.453,2,56
21773,2023,2701,Medicine (miscellaneous),0.445,3,44
21773,2023,2725,Infectious Diseases,0.445,3,40
21773,2023,2736,Pharmacology (medical),0.445,3,43
21774,2023,1403,Business and International Management,0.555,2,61
21774,2023,1405,Management of Technology and Innovation,0.555,2,57
21774,2023,1408,Strategy and Management,0.555,2,57
21774,2023,1803,Management Science and Operations Research,0.555,2,50
21775,2023,2701,Medicine (miscellaneous),0.13,4,8
21775,2023,2728,Neurology (clinical),0.13,4,8
21775,2023,2746,Surgery,0.13,4,11
21776,2023,2701,Medicine (miscellaneous),0.757,2,68
21776,2023,2728,Neurology (clinical),0.757,2,60
21776,2023,2746,Surgery,0.757,1,78
21780,2023,2001,"Economics, Econometrics and Finance (miscellaneous)",1.163,1,94
21780,2023,2201,Engineering (miscellaneous),1.163,1,89
21780,2023,2603,Analysis,1.163,1,86
21780,2023,2604,Applied Mathematics,1.163,1,86
21780,2023,2605,Computational Mathematics,1.163,1,83
21780,2023,2701,Medicine (miscellaneous),1.163,1,84
21781,2023,2002,Economics and Econometrics,0.775,2,68
21782,2023,3004,Pharmacology,1.053,1,79
21783,2023,2736,Pharmacology (medical),0.458,3,45
21783,2023,2738,Psychiatry and Mental Health,0.458,3,40
21784,2023,2736,Pharmacology (medical),0.105,4,3
21784,2023,2738,Psychiatry and Mental Health,0.105,4,2
21786,2023,2713,Epidemiology,0.959,2,65
21786,2023,2719,Health Policy,0.959,1,79
21786,2023,2725,Infectious Diseases,0.959,2,74
21786,2023,2739,"Public Health, Environmental and Occupational Health",0.959,1,79
21787,2023,2405,Parasitology,0.834,1,76
21787,2023,2406,Virology,0.834,2,53
21787,2023,2701,Medicine (miscellaneous),0.834,2,73
21787,2023,2725,Infectious Diseases,0.834,2,67
21789,2023,1408,Strategy and Management,5.466,1,98
21789,2023,1803,Management Science and Operations Research,5.466,1,99
21790,2023,2725,Infectious Diseases,0.447,3,40
21790,2023,2736,Pharmacology (medical),0.447,3,43
21790,2023,3004,Pharmacology,0.447,3,40
21792,2023,2902,Advanced and Specialized Nursing,0.586,1,88
21794,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.198,4,13
21798,2023,3003,Pharmaceutical Science,0.11,4,8
21798,2023,3004,Pharmacology,0.11,4,5
21801,2023,1303,Biochemistry,0.955,2,70
21801,2023,1307,Cell Biology,0.955,2,52
21801,2023,1308,Clinical Biochemistry,0.955,2,73
21801,2023,1314,Physiology,0.955,2,69
21801,2023,2704,Biochemistry (medical),0.955,2,69
21805,2023,1712,Software,0.535,3,47
21805,2023,1803,Management Science and Operations Research,0.535,3,48
21805,2023,2601,Mathematics (miscellaneous),0.535,2,66
21807,2023,2725,Infectious Diseases,0.594,2,52
21807,2023,2726,Microbiology (medical),0.594,3,47
21810,2023,3001,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",0.245,2,51
21811,2023,2701,Medicine (miscellaneous),0.278,3,28
21811,2023,3004,Pharmacology,0.278,3,28
21817,2023,2725,Infectious Diseases,3.308,1,97
21817,2023,2726,Microbiology (medical),3.308,1,96
21818,2023,1207,History and Philosophy of Science,0.174,3,41
21820,2023,3001,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",0.128,4,11
21820,2023,3003,Pharmaceutical Science,0.128,4,16
21820,2023,3004,Pharmacology,0.128,4,11
21823,2023,2736,Pharmacology (medical),0.244,3,30
21823,2023,3003,Pharmaceutical Science,0.244,3,43
21823,2023,3611,Pharmacy,0.244,2,53
21827,2023,2736,Pharmacology (medical),0.125,4,9
21827,2023,3001,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",0.125,4,9
21828,2023,3003,Pharmaceutical Science,0.118,4,12
21828,2023,3004,Pharmacology,0.118,4,8
21828,2023,3611,Pharmacy,0.118,4,17
21834,2023,2406,Virology,0.301,4,21
21834,2023,2725,Infectious Diseases,0.301,3,30
21840,2023,3004,Pharmacology,0.129,4,12
21841,2023,1106,Food Science,0.364,3,47
21841,2023,1601,Chemistry (miscellaneous),0.364,3,47
21841,2023,2307,"Health, Toxicology and Mutagenesis",0.364,3,28
21841,2023,2739,"Public Health, Environmental and Occupational Health",0.364,3,38
21841,2023,3005,Toxicology,0.364,3,28
21843,2023,2703,Anesthesiology and Pain Medicine,1.344,1,94
21844,2023,2725,Infectious Diseases,1.171,1,82
21844,2023,2726,Microbiology (medical),1.171,1,79
21846,2023,2703,Anesthesiology and Pain Medicine,1.972,1,96
21848,2023,1902,Atmospheric Science,2.387,1,95
21848,2023,2301,Environmental Science (miscellaneous),2.387,1,96
21848,2023,2304,Environmental Chemistry,2.387,1,92
21848,2023,2306,Global and Planetary Change,2.387,1,92
21853,2023,1202,History,0.149,2,60
21853,2023,3312,Sociology and Political Science,0.149,3,25
21853,2023,3316,Cultural Studies,0.149,2,52
21855,2023,2703,Anesthesiology and Pain Medicine,0.658,2,70
21857,2023,2725,Infectious Diseases,0.122,4,5
21857,2023,2726,Microbiology (medical),0.122,4,4
21858,2023,2703,Anesthesiology and Pain Medicine,2.397,1,98
21859,2023,2404,Microbiology,0.288,4,17
21859,2023,2725,Infectious Diseases,0.288,3,28
21859,2023,2726,Microbiology (medical),0.288,4,23
21860,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.157,4,6
21860,2023,3305,"Geography, Planning and Development",0.157,4,16
21865,2023,2736,Pharmacology (medical),0.586,2,54
21865,2023,3004,Pharmacology,0.586,2,51
21867,2023,2736,Pharmacology (medical),0.158,4,20
21867,2023,3004,Pharmacology,0.158,4,19
21869,2023,2701,Medicine (miscellaneous),0.924,1,76
21869,2023,2703,Anesthesiology and Pain Medicine,0.924,1,85
21871,2023,2703,Anesthesiology and Pain Medicine,0.65,2,68
21872,2023,2406,Virology,2.881,1,93
21872,2023,2701,Medicine (miscellaneous),2.881,1,96
21872,2023,2713,Epidemiology,2.881,1,93
21872,2023,2739,"Public Health, Environmental and Occupational Health",2.881,1,99
21873,2023,1408,Strategy and Management,2.201,1,90
21873,2023,2308,"Management, Monitoring, Policy and Law",2.201,1,96
21873,2023,3303,Development,2.201,1,97
21875,2023,2403,Immunology,0.407,4,23
21875,2023,2405,Parasitology,0.407,3,38
21875,2023,2701,Medicine (miscellaneous),0.407,3,40
21875,2023,2725,Infectious Diseases,0.407,3,38
21876,2023,2703,Anesthesiology and Pain Medicine,0.255,3,40
21879,2023,2405,Parasitology,0.39,3,32
21880,2023,1106,Food Science,0.608,2,70
21880,2023,1605,Organic Chemistry,0.608,2,65
21885,2023,1202,History,0.101,4,10
21885,2023,1212,Religious Studies,0.101,4,10
21885,2023,3308,Law,0.101,4,2
21886,2023,2736,Pharmacology (medical),0.158,4,20
21887,2023,2703,Anesthesiology and Pain Medicine,0.987,1,87
21890,2023,2739,"Public Health, Environmental and Occupational Health",0.241,3,25
21892,2023,2719,Health Policy,0.927,1,76
21892,2023,2739,"Public Health, Environmental and Occupational Health",0.927,1,77
21892,2023,3306,Health (social science),0.927,1,81
21894,2023,2703,Anesthesiology and Pain Medicine,0.246,3,37
21899,2023,1408,Strategy and Management,1.182,1,80
21904,2023,2703,Anesthesiology and Pain Medicine,0.101,4,2
21904,2023,2706,Critical Care and Intensive Care Medicine,0.101,4,1
21905,2023,2719,Health Policy,0.824,2,71
21905,2023,2739,"Public Health, Environmental and Occupational Health",0.824,2,72
21906,2023,2719,Health Policy,0.886,1,75
21906,2023,2739,"Public Health, Environmental and Occupational Health",0.886,1,75
21907,2023,2703,Anesthesiology and Pain Medicine,0.316,3,48
21907,2023,2736,Pharmacology (medical),0.316,3,35
21907,2023,3001,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",0.316,2,60
21908,2023,1211,Philosophy,0.715,1,92
21908,2023,2739,"Public Health, Environmental and Occupational Health",0.715,2,65
21908,2023,3304,Education,0.715,1,75
21909,2023,2703,Anesthesiology and Pain Medicine,0.734,2,74
21910,2023,2703,Anesthesiology and Pain Medicine,1.082,1,88
21911,2023,2703,Anesthesiology and Pain Medicine,0.634,2,67
21911,2023,2728,Neurology (clinical),0.634,3,49
21911,2023,2746,Surgery,0.634,2,70
21915,2023,1408,Strategy and Management,2.647,1,92
21915,2023,1802,Information Systems and Management,2.647,1,93
21915,2023,1803,Management Science and Operations Research,2.647,1,93
21916,2023,2208,Electrical and Electronic Engineering,0.632,2,67
21920,2023,2701,Medicine (miscellaneous),0.101,4,0
21920,2023,2703,Anesthesiology and Pain Medicine,0.101,4,3
21921,2023,2703,Anesthesiology and Pain Medicine,0.55,2,62
21925,2023,2703,Anesthesiology and Pain Medicine,0.1,4,0
21925,2023,3501,Dentistry (miscellaneous),0.1,4,0
21926,2023,1401,"Business, Management and Accounting (miscellaneous)",2.145,1,94
21926,2023,1405,Management of Technology and Innovation,2.145,1,90
21926,2023,1408,Strategy and Management,2.145,1,90
21926,2023,1802,Information Systems and Management,2.145,1,88
21928,2023,1104,Aquatic Science,1.991,1,98
21928,2023,1105,"Ecology, Evolution, Behavior and Systematics",1.991,1,96
21928,2023,1910,Oceanography,1.991,1,97
21928,2023,2308,"Management, Monitoring, Policy and Law",1.991,1,93
21930,2023,1104,Aquatic Science,0.639,1,75
21930,2023,1303,Biochemistry,0.639,2,50
21930,2023,1314,Physiology,0.639,3,49
21930,2023,2701,Medicine (miscellaneous),0.639,2,60
21933,2023,1201,Arts and Humanities (miscellaneous),2.211,1,98
21933,2023,1404,Management Information Systems,2.211,1,91
21933,2023,1710,Information Systems,2.211,1,93
21933,2023,1802,Information Systems and Management,2.211,1,89
21933,2023,3204,Developmental and Educational Psychology,2.211,1,94
21934,2023,2703,Anesthesiology and Pain Medicine,0.527,2,61
21934,2023,2735,"Pediatrics, Perinatology and Child Health",0.527,2,60
21937,2023,2902,Advanced and Specialized Nursing,0.494,1,79
21938,2023,2703,Anesthesiology and Pain Medicine,0.899,1,81
21941,2023,1103,Animal Science and Zoology,0.403,2,57
21941,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.403,3,48
21944,2023,2701,Medicine (miscellaneous),1.282,1,87
21944,2023,2738,Psychiatry and Mental Health,1.282,1,79
21945,2023,2701,Medicine (miscellaneous),0.675,2,62
21945,2023,2738,Psychiatry and Mental Health,0.675,2,54
21945,2023,2739,"Public Health, Environmental and Occupational Health",0.675,2,63
21945,2023,3306,Health (social science),0.675,2,71
21948,2023,2701,Medicine (miscellaneous),1.328,1,88
21948,2023,2703,Anesthesiology and Pain Medicine,1.328,1,93
21949,2023,2703,Anesthesiology and Pain Medicine,0.356,2,51
21950,2023,2703,Anesthesiology and Pain Medicine,0.239,3,37
21950,2023,2706,Critical Care and Intensive Care Medicine,0.239,3,40
21951,2023,2703,Anesthesiology and Pain Medicine,0.111,4,6
21954,2023,2701,Medicine (miscellaneous),0.267,3,27
21954,2023,2738,Psychiatry and Mental Health,0.267,4,24
21954,2023,2739,"Public Health, Environmental and Occupational Health",0.267,3,28
21955,2023,1106,Food Science,1.893,1,97
21955,2023,2209,Industrial and Manufacturing Engineering,1.893,1,92
21955,2023,2701,Medicine (miscellaneous),1.893,1,93
21960,2023,1601,Chemistry (miscellaneous),0.257,3,35
21962,2023,2703,Anesthesiology and Pain Medicine,0.125,4,14
21964,2023,1106,Food Science,0.349,3,46
21967,2023,1103,Animal Science and Zoology,0.315,3,44
21967,2023,1104,Aquatic Science,0.315,3,36
21969,2023,1601,Chemistry (miscellaneous),0.2,3,25
21970,2023,1606,Physical and Theoretical Chemistry,0.345,3,37
21971,2023,1503,Catalysis,0.613,3,48
21971,2023,1601,Chemistry (miscellaneous),0.613,2,68
