SID,Year,ASJC,Description,SJR,Quartile,Percentile
12072,2023,3312,Sociology and Political Science,0.899,1,86
12073,2023,3304,Education,1.06,1,87
12074,2023,1902,Atmospheric Science,2.149,1,93
12075,2023,1401,"Business, Management and Accounting (miscellaneous)",0.643,2,70
12075,2023,2501,Materials Science (miscellaneous),0.643,2,67
12075,2023,2507,Polymers and Plastics,0.643,2,74
12079,2023,1902,Atmospheric Science,0.284,4,22
12080,2023,2719,Health Policy,0.619,2,56
12082,2023,3201,Psychology (miscellaneous),1.096,1,82
12084,2023,1201,Arts and Humanities (miscellaneous),0.666,1,83
12084,2023,3201,Psychology (miscellaneous),0.666,2,61
12085,2023,1201,Arts and Humanities (miscellaneous),0.125,3,31
12085,2023,3309,Library and Information Sciences,0.125,4,18
12088,2023,3202,Applied Psychology,0.709,2,57
12088,2023,3207,Social Psychology,0.709,2,63
12090,2023,1902,Atmospheric Science,0.492,3,38
12090,2023,1910,Oceanography,0.492,2,54
12091,2023,1902,Atmospheric Science,2.138,1,92
12092,2023,1902,Atmospheric Science,1.427,1,80
12093,2023,1902,Atmospheric Science,1.09,2,71
12094,2023,1804,"Statistics, Probability and Uncertainty",3.922,1,97
12094,2023,2613,Statistics and Probability,3.922,1,98
12095,2023,1904,Earth-Surface Processes,0.514,2,63
12095,2023,3305,"Geography, Planning and Development",0.514,2,65
12099,2023,3304,Education,1.102,1,88
12100,2023,3304,Education,0.909,1,82
12102,2023,1201,Arts and Humanities (miscellaneous),0.619,1,81
12102,2023,3203,Clinical Psychology,0.619,2,56
12102,2023,3204,Developmental and Educational Psychology,0.619,2,51
12104,2023,3304,Education,0.862,1,81
12104,2023,3312,Sociology and Political Science,0.862,1,85
12107,2023,3203,Clinical Psychology,1.535,1,90
12108,2023,1314,Physiology,0.534,3,36
12108,2023,2802,Behavioral Neuroscience,0.534,3,29
12108,2023,3206,Neuropsychology and Physiological Psychology,0.534,3,49
12111,2023,2738,Psychiatry and Mental Health,1.033,2,71
12111,2023,3202,Applied Psychology,1.033,2,69
12115,2023,3301,Social Sciences (miscellaneous),0.299,2,54
12116,2023,2208,Electrical and Electronic Engineering,0.684,2,70
12116,2023,2504,"Electronic, Optical and Magnetic Materials",0.684,2,70
12116,2023,3107,"Atomic and Molecular Physics, and Optics",0.684,2,72
12117,2023,1409,"Tourism, Leisure and Hospitality Management",1.051,1,77
12117,2023,3305,"Geography, Planning and Development",1.051,1,89
12119,2023,1804,"Statistics, Probability and Uncertainty",0.545,2,51
12119,2023,2613,Statistics and Probability,0.545,2,54
12120,2023,1804,"Statistics, Probability and Uncertainty",0.44,3,42
12120,2023,2613,Statistics and Probability,0.44,3,44
12121,2023,2504,"Electronic, Optical and Magnetic Materials",0.565,2,64
12121,2023,3104,Condensed Matter Physics,0.565,2,66
12121,2023,3107,"Atomic and Molecular Physics, and Optics",0.565,2,65
12122,2023,2802,Behavioral Neuroscience,0.787,2,54
12123,2023,2701,Medicine (miscellaneous),0.468,3,45
12123,2023,2738,Psychiatry and Mental Health,0.468,3,40
12123,2023,3203,Clinical Psychology,0.468,3,47
12123,2023,3308,Law,0.468,1,81
12125,2023,1201,Arts and Humanities (miscellaneous),1.006,1,91
12125,2023,1709,Human-Computer Interaction,1.006,2,71
12125,2023,3204,Developmental and Educational Psychology,1.006,2,73
12125,2023,3301,Social Sciences (miscellaneous),1.006,1,90
12126,2023,3203,Clinical Psychology,0.673,2,59
12126,2023,3205,Experimental and Cognitive Psychology,0.673,2,54
12127,2023,2738,Psychiatry and Mental Health,1.761,1,90
12127,2023,3203,Clinical Psychology,1.761,1,92
12127,2023,3204,Developmental and Educational Psychology,1.761,1,91
12127,2023,3205,Experimental and Cognitive Psychology,1.761,1,94
12128,2023,2701,Medicine (miscellaneous),0.733,2,67
12128,2023,3203,Clinical Psychology,0.733,2,65
12132,2023,1902,Atmospheric Science,1.49,1,83
12133,2023,2209,Industrial and Manufacturing Engineering,0.981,1,83
12133,2023,2505,Materials Chemistry,0.981,1,82
12133,2023,2506,Metals and Alloys,0.981,1,87
12134,2023,2613,Statistics and Probability,0.549,2,54
12136,2023,1804,"Statistics, Probability and Uncertainty",0.736,2,66
12136,2023,2604,Applied Mathematics,0.736,2,69
12136,2023,2613,Statistics and Probability,0.736,2,68
12137,2023,1712,Software,2.709,1,93
12137,2023,1804,"Statistics, Probability and Uncertainty",2.709,1,94
12137,2023,2613,Statistics and Probability,2.709,1,95
12140,2023,1804,"Statistics, Probability and Uncertainty",0.875,2,72
12140,2023,2604,Applied Mathematics,0.875,1,75
12140,2023,2613,Statistics and Probability,0.875,2,74
12142,2023,1606,Physical and Theoretical Chemistry,0.394,3,45
12142,2023,1607,Spectroscopy,0.394,3,44
12142,2023,3104,Condensed Matter Physics,0.394,3,48
12142,2023,3105,Instrumentation,0.394,3,43
12145,2023,2801,Neuroscience (miscellaneous),0.881,2,57
12145,2023,3206,Neuropsychology and Physiological Psychology,0.881,1,77
12147,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.13,4,2
12147,2023,2303,Ecology,0.13,4,5
12148,2023,2210,Mechanical Engineering,0.519,2,64
12148,2023,2211,Mechanics of Materials,0.519,2,61
12148,2023,2505,Materials Chemistry,0.519,2,64
12148,2023,2506,Metals and Alloys,0.519,2,73
12149,2023,2506,Metals and Alloys,0.359,2,58
12155,2023,1607,Spectroscopy,0.192,4,10
